,recipe_id,ingredient_name,ingredient_amount,ingredient_unit,ingredient_remainder
18,12,chinese chives,1,cup,
19,12,bean sprouts,1,cup,(fresh)
20,12,roasted peanuts,0.25,cup,(chopped)
21,12,lime wedges,,,
22,12,Sriracha sauce,,,
0,13,pad thai noodles,1,pkg.,
1,13,raw sugar,2,Tbsp.,
2,13,tamarind paste,1,tsp.,(in Asian/Indian food section)
3,13,fish sauce,4,Tbsp.,
4,13,rice vinegar,2,tsp.,
5,13,minced ginger,0.5,Tbsp.,
6,13,minced garlic,0.5,Tbsp.,
7,13,shallot,0.5,Tbsp.,(minced)
8,13,lemongrass,0.5,Tbsp.,(minced)
9,13,peanut oil,,,
10,13,large eggs,2,,
11,13,cooked shrimp,2,oz.,
12,13,extra firm tofu,1,cup,(diced)
13,13,scallions,0.666666667,cup,(chopped)
14,13,peanuts,0.5,cup,"(chopped, unsalted)"
15,13,bean sprouts,0.5,cup,
16,13,lime wedges,,,
0,14,boneless chicken breast,0.75,lb.,(cut into small pieces)
1,14,soy sauce,1.5,Tbsp.,
2,14,japanese noodles,9,oz.,(or pad Thai)
3,14,vegetable oil,2,Tbsp.,
4,14,green onions,4,,"(sliced, divide the white from the green)"
5,14,garlic,4,cloves,(minced)
6,14,red chili,1,,(I used jalapeno sliced)
7,14,ginger,1,Tbsp.,(peeled and grated)
8,14,bean sprouts,3,cups,
9,14,egg,1,,(slightly whisked)
10,14,dry roasted peanuts,0.333333333,cup,(roughly chopped)
11,14,lime,1,,(sliced into wedges)
12,14,chicken stock,0.333333333,cup,
13,14,rice vinegar,3,Tbsp.,(or white)
14,14,lime juice,1,Tbsp.,
15,14,light brown sugar,4,Tbsp.,
16,14,soy sauce,1,Tbsp.,
17,14,black pepper,0.125,tsp.,
0,15,rice noodles,8,oz.,"(dried, “Pad Thai”)"
1,15,brown sugar,2,Tbsp.,
2,15,fresh lime juice,2,Tbsp.,(plus wedges for serving)
3,15,soy sauce,3,Tbsp.,
4,15,Sriracha sauce,1,,(squirt)
5,15,sesame oil,2,tsp.,(or vegetable)
6,15,scallions,3,,"(white and green parts, separated and thinly sliced)"
7,15,garlic clove,1,,(minced)
8,15,large eggs,2,,"(lightly beaten, optional)"
9,15,fresh cilantro,0.5,cup,
10,15,roasted salted peanuts,0.25,cup,(chopped)
11,15,bean sprouts,0.5,cup,
12,15,shredded carrots,0.5,cup,
0,16,vegetable oil,,,
1,16,boneless skinless chicken thighs,2,lb.,(cut into bite-sized strips)
2,16,salt,,,
3,16,pepper,,,
4,16,firm tofu,8,oz.,"(cut into cubes, optional)"
5,16,eggs,2,,(lightly beaten)
6,16,sesame oil,1,Tbsp.,
7,16,rice noodles,8,oz.,(flat)
8,16,chili paste,2,Tbsp.,(or chili garlic sauce)
9,16,low sodium soy sauce,2,Tbsp.,
10,16,fish sauce,2,tsp.,
11,16,bean sprouts,8,oz.,(divided)
12,16,jalapeño,1,,(sliced)
13,16,green onions,3,,(sliced thin)
14,16,peanuts,0.5,cup,
15,16,thai basil,2,Tbsp.,"(chopped fresh, and cilantro)"
16,16,crushed red pepper,,,(to taste)
17,16,limes,2,,(cut into quarters lengthwise)
0,17,zucchini,2,,(medium)
1,17,olive oil,2,Tbsp.,(divided)
2,17,shrimp,0.5,lb.,"(peeled and de-veined, or what ever protein you prefer)"
3,17,garlic,3,cloves,(minced or crushed)
4,17,red bell pepper,0.5,,(seeded and sliced thin)
5,17,green onions,3,,"(sliced in 1"" pieces)"
6,17,large egg,1,,
7,17,bean sprouts,2,cups,
8,17,roasted peanuts,0.333333333,cup,
9,17,cilantro,,,(optional)
10,17,rice vinegar,2,Tbsp.,(or distilled white vinegar)
11,17,fish sauce,2,Tbsp.,(or more to taste)
12,17,ketchup,3,Tbsp.,
13,17,brown sugar,1,tsp.,
14,17,cayenne pepper,0.5,tsp.,
15,17,chili garlic sauce,1,tsp.,(or more to taste)
0,18,light brown sugar,4,Tbsp.,
1,18,fresh lime juice,3,Tbsp.,(about 2-3 limes)
2,18,soy sauce,4,Tbsp.,
3,18,water,0.25,cup,
4,18,rice noodles,8,oz.,"(wide Pad Thai, also called Banh Pho)"
5,18,vegetable oil,2,Tbsp.,
6,18,crushed red pepper,,,(as much as you like)
7,18,garlic,6,cloves,(minced)
8,18,broccoli florets,2,cups,
9,18,carrots,2,,"(medium, peeled and chopped into rounds)"
10,18,tofu,1,cup,"(cubed fried, available at Asian stores)"
11,18,bean sprouts,1,handful,
12,18,green onions,2,,(chopped)
13,18,peanuts,3,Tbsp.,"(roasted, chopped)"
14,18,cilantro sprigs,4,,(chopped)
15,18,lime,0.5,,(cut into wedges)
0,19,rice noodles,6,oz.,
1,19,vegetable oil,3,Tbsp.,(neutral flavor – not sesame or olive)
2,19,sugar,2,Tbsp.,(Palm or Brown)
3,19,garlic,4,cloves,(Minced)
4,19,fish sauce,4,tsp.,(Nam Pla Use soy sauce for vegetarian recipes or as a substitute)
5,19,eggs,2,,
6,19,tamarind paste,1,Tbsp.,(or white vinegar)
7,19,firm tofu,0.5,cup,(cut into 1/2 inch strips)
8,19,shrimp,12,,"(Medium Sized, Washed and De-veined, optional)"
9,19,ground red pepper,0.5,tsp.,
10,19,roasted peanuts,2,Tbsp.,(Ground)
11,19,bean sprouts,,,(optional)
12,19,lime wedges,,,(optional)
0,20,rice noodles,454,grams,"(flat , cooked to package directions & rinsed)"
1,20,ketchup,0.25,cup,
2,20,peanut butter,0.25,cup,
3,20,lime juice,2,Tbsp.,
4,20,soy,1,Tbsp.,(sauce)
5,20,fish sauce,1,Tbsp.,"( , optional)"
6,20,garlic cloves,2,,(minced)
7,20,cornstarch,1,Tbsp.,
8,20,chicken broth,0.333333333,,"(carton, about 1 ¼ cups/310 mL Campbell's® 30% Less Sodium Ready To Use Thai)"
9,20,canola oil,2,tsp.,
10,20,medium eggs,2,,(well beaten)
11,20,chicken breast,1,,"(large , thinly sliced)"
12,20,bean sprouts,1,cup,
13,20,chopped fresh cilantro,0.5,cup,"(to garnish, optional)"
14,20,roasted peanuts,0.25,cup,"(chopped, to garnish, optional)"
15,20,lime wedges,4,,"(to garnish, optional)"
0,21,thai noodles,8,oz.,(preferably A Taste of Thai or Thai Kitchen brands)
1,21,asian fish sauce,2,Tbsp.,
2,21,light brown sugar,3,Tbsp.,
3,21,fresh lime juice,0.25,cup,(plus wedges for serving)
4,21,Thai bird chiles,2,,"(or 1 serrano with seeds, stemmed and thinly sliced)"
5,21,canola oil,0.25,cup,
6,21,shallots,3,,"(large, thinly sliced, 1 cup)"
7,21,large garlic cloves,3,,(minced)
8,21,medium shrimp,12,oz.,(shelled and deveined)
9,21,large eggs,2,,(beaten)
10,21,scallions,4,,(thinly sliced)
11,21,roasted peanuts,,,
12,21,bean sprouts,,,
13,21,chopped cilantro,,,
0,22,light coconut milk,15,oz.,
1,22,ketchup,0.25,cup,(good-quality)
2,22,granulated sugar,2,Tbsp.,(natural)
3,22,lime,1,,
4,22,reduced sodium soy sauce,3,Tbsp.,(or tamari)
5,22,rice noodles,8,oz.,(flat)
6,22,peanut oil,1.5,Tbsp.,
7,22,extra firm tofu,8,oz.,"(blotted and cut into short, narrow strips)"
8,22,garlic,4,cloves,(minced)
9,22,mung bean sprouts,8,oz.,(fresh)
10,22,scallions,6,,"(white and green parts, thinly sliced)"
11,22,chili paste,0.5,tsp.,"(Thai red, dissolved in a little water)"
12,22,Sriracha sauce,,,
13,22,hot red pepper flakes,,,
14,22,chopped fresh cilantro,0.5,cup,(to taste)
15,22,peanuts,0.5,cup,(chopped)
16,22,lime wedges,,,"(for garnish, optional)"
0,23,chicken meat,1.5,lb.,(cut into small 1” chunks)
1,23,extra virgin coconut oil,5,Tbsp.,"(more if you use breast meat, less if you use thigh meat)"
2,23,garlic,5,cloves,(finely chopped)
3,23,fish sauce,3,Tbsp.,
4,23,coconut aminos,1,Tbsp.,(or use 1 more Tbsp fish sauce)
5,23,fresh lime juice,4,Tbsp.,(or use a good quality bottled Lime Juice)
6,23,coconut vinegar,0.5,Tbsp.,(Apple Cider Vinegar would work too)
7,23,chopped fresh cilantro,5,Tbsp.,
8,23,green onions,5,,(finely chopped)
9,23,broccoli slaw,12,oz.,
10,23,carrots,2,,"(medium, cut into thin julienne strips)"
0,24,rice noodles,454,grams,(thickness of your choice)
1,24,vegetable oil,2,Tbsp.,
2,24,tamari,2,Tbsp.,
3,24,cabbage,0.5,,"(thinly sliced, green or red, or a mixture)"
4,24,carrots,3,,(thinly sliced on a diagonal)
5,24,bean sprouts,1,cup,
6,24,tofu,175,grams,"(firm or extra firm, drained and cubed)"
7,24,sugar,1.5,Tbsp.,
8,24,garlic,1,clove,(minced)
9,24,vegetable oil,2,Tbsp.,
10,24,tamari,1,Tbsp.,
11,24,water,3,Tbsp.,
12,24,chilli flakes,0.5,tsp.,
13,24,peanuts,0.25,cup,(chopped)
14,24,sweet chili sauce,,,(to top)
15,24,green onions,,,"(sliced for garnish, optional)"
0,25,rice noodles,100,grams,"(Pad Thai, flat rice stick noodles 3-5 mm wide)"
1,25,fish sauce,2,Tbsp.,
2,25,tamarind puree,2,Tbsp.,
3,25,palm sugar,2,Tbsp.,(or brown sugar)
4,25,oyster sauce,1,Tbsp.,
5,25,chili powder,0.25,tsp.,(ground)
6,25,cooking oil,3,Tbsp.,
7,25,garlic cloves,2,,(minced)
8,25,shallot,1,Tbsp.,(chopped)
9,25,large shrimp,100,grams,"(peeled, deveined, or sliced chicken)"
10,25,firm tofu,60,grams,(cut into thin sticks)
11,25,eggs,2,,
12,25,bean sprouts,1,cup,
13,25,garlic chives,2,Tbsp.,(cut into 1-inch pieces)
14,25,ground chili,,,
15,25,sugar,,,
16,25,condiments,,,
17,25,chopped peanuts,,,
18,25,lime,,,
0,26,brown rice noodles,5,oz.,
1,26,shredded carrots,0.5,cup,
2,26,snap peas,0.5,cup,
3,26,garlic chives,0.25,cup,(roughly chopped)
4,26,bean sprouts,1,cup,
5,26,cilantro,0.25,cup,(roughly chopped)
6,26,peanuts,2,Tbsp.,(crushed)
7,26,avocado oil,1,Tbsp.,(or sunflower oil)
8,26,sauce,,,
9,26,fish sauce,1.5,Tbsp.,
10,26,honey,1.5,Tbsp.,
11,26,oyster sauce,1,Tbsp.,
12,26,lime,0.5,,
13,26,chilli,1,,"(Thai, finely chopped)"
0,27,brown rice noodles,8,oz.,
1,27,tomato paste,4,Tbsp.,(unsalted)
2,27,apple cider vinegar,4,Tbsp.,
3,27,honey,3,Tbsp.,
4,27,Thai fish sauce,2,Tbsp.,
5,27,fresh lime juice,1,Tbsp.,
6,27,ground cayenne pepper,0.125,tsp.,
7,27,olive oil cooking spray,,,
8,27,egg white,1,,(whisked)
9,27,green cabbage,2,cups,(chopped)
10,27,bean sprouts,1,cup,
11,27,green onions,2,,(julienned or thinly sliced lengthwise)
12,27,large carrot,1,,(peeled and julienned or cut into thin matchstick pieces)
13,27,firm tofu,12,oz.,(cubed)
14,27,cilantro,0.25,cup,(minced)
15,27,peanuts,2,Tbsp.,"(unsalted, crushed)"
16,27,lime wedges,,,(optional)
17,27,cilantro,,,(optional)
0,28,boiling water,0.75,cup,
1,28,tamarind paste,2,Tbsp.,
2,28,fish sauce,3,Tbsp.,
3,28,rice vinegar,1,Tbsp.,
4,28,palm sugar,3,Tbsp.,(or light brown sugar)
5,28,cayenne pepper,1,tsp.,
6,28,peanut oil,4,Tbsp.,(or vegetable oil)
7,28,dried rice noodles,8,oz.,(Use the ones that look like linguine)
8,28,large eggs,2,,
9,28,table salt,0.25,tsp.,
10,28,medium shrimp,12,oz.,"(peeled, deveined,, if desired. Thin slices of chicken or tofu make good substitutes)"
11,28,garlic,4,cloves,(minced)
12,28,shallot,1,,"(medium, minced)"
13,28,unsalted roasted peanuts,6,Tbsp.,(chopped)
14,28,bean sprouts,3,cups,
15,28,scallions,5,,"(medium, green parts only, sliced thin)"
16,28,cilantro leaves,0.25,cup,(optional)
17,28,lime wedges,,,
0,29,rice noodles,7,oz.,"(dry flat, 1/4 inch, 6 mm)"
1,29,Asian fish sauce,0.25,cup,(2 fl. oz./60 ml)
2,29,fresh lime juice,2,Tbsp.,
3,29,sugar,2,Tbsp.,
4,29,canola oil,2,Tbsp.,
5,29,medium shrimp,0.5,lb.,(peeled and deveined)
6,29,garlic cloves,3,,(minced)
7,29,red pepper flakes,0.25,tsp.,
8,29,eggs,3,,(lightly beaten)
9,29,bean sprouts,2,cups,
10,29,unsalted roasted peanuts,4,Tbsp.,(chopped)
11,29,sliced green onions,4,Tbsp.,(thinly)
12,29,chopped fresh cilantro,0.5,cup,
13,29,chopped fresh mint,0.25,cup,
0,30,dried rice noodles,4,oz.,
1,30,shrimp,0.5,lb.,(peeled and deveined)
2,30,tofu,0.25,lb.,(sliced)
3,30,egg,1,,
4,30,fish sauce,2,Tbsp.,
5,30,juice concentrate,3,Tbsp.,(tamarind)
6,30,sugar,2,Tbsp.,
7,30,vinegar,1,Tbsp.,
8,30,shallots,0.25,cup,(chopped)
9,30,peanuts,0.333333333,cup,(crushed)
10,30,chinese chives,,,"(or scallions, to taste)"
11,30,bean sprouts,,,(to taste)
12,30,dried chili,,,(to taste)
13,30,lime wedges,,,(to serve)
14,30,oil,,,(for pan)
0,31,canola oil,2,Tbsp.,
1,31,shirataki noodles,8,oz.,"(2 packets, tofu, can substitute bean thread noodles or any other regular noodle)"
2,31,onion,0.5,,(chopped)
3,31,broccoli florets,1,cup,
4,31,red pepper,0.5,,(cut into strips)
5,31,ginger garlic paste,1,tsp.,
6,31,tofu,0.5,cup,
7,31,eggs,2,,(optional)
8,31,red pepper flakes,0.5,tsp.,
9,31,coconut milk,0.333333333,cup,(I used canned coconut milk)
10,31,peanut butter,3,Tbsp.,
11,31,tamarind paste,2,Tbsp.,
12,31,soy sauce,1,Tbsp.,
13,31,rice vinegar,0.5,Tbsp.,
14,31,sesame oil,0.5,Tbsp.,
15,31,lemon juice,1,Tbsp.,
16,31,splenda,2,tsp.,
17,31,cumin powder,0.5,tsp.,
18,31,ground coriander,0.5,tsp.,
19,31,Sriracha sauce,0.5,Tbsp.,
20,31,red pepper flakes,0.5,tsp.,
21,31,green onions,0.25,cup,
22,31,peanuts,2,Tbsp.,(crushed)
23,31,lime wedges,,,
0,32,rice noodles,200,grams,
1,32,limes,2,,
2,32,fish sauce,2,Tbsp.,
3,32,brown sugar,1,tsp.,
4,32,chili flakes,0.5,tsp.,
5,32,oil,3,Tbsp.,
6,32,eggs,2,,
7,32,clove,1,,
8,32,prawns,400,grams,
9,32,peanuts,150,grams,
10,32,leaves,,,(optional)
11,32,mustard,,,(optional)
0,33,vegetable oil,0.333333333,cup,(plain)
1,33,dried rice noodles,4,oz.,"(wide, following the instructions on how to prepare dried rice noodles for Pad Thai)"
2,33,sauce,0.666666667,cup,(~166mL prepared Pad Thai)
3,33,shrimp paste,1,Tbsp.,"(in oil, มันกุ้งเสวย, as mentioned in my post on Pad Thai ingredients, optional)"
4,33,garlic,8,grams,(peeled and finely chopped)
5,33,shallot,1,,"(medium, 18g, peeled and finely chopped)"
6,33,preserved radishes,0.25,cup,(finely-chopped)
7,33,dried shrimp,0.25,cup,"(shell-on small, the kind specified in my post on Pad Thai ingredients)"
8,33,tofu,0.75,cup,"(the firmest, you can find)"
9,33,shrimp,220,grams,"(large, 31-35/lb, peeled and deveined)"
10,33,large eggs,2,,(cracked into a bowl)
11,33,chinese chives,7,stalks,
12,33,bean sprouts,2,cups,
13,33,sugar,,,
14,33,red pepper flakes,,,
15,33,fish sauce,,,
16,33,limes,,,
17,33,dry roasted peanuts,,,(Chopped)
18,33,bean sprouts,,,"(Extra, soaked in acidulated water, to keep them fresh and crunchy)"
19,33,chive,,,"(Chinese, stalks)"
20,33,banana blossom,,,(trimmed according to the instructions in my post on Pad Thai ingredients)
0,34,kelp noodles,0.5,pkg.,
1,34,purple cabbage,0.5,head,
2,34,carrots,2,,(grated)
3,34,zucchini,1,,(spiralised)
4,34,spring onions,2,,
5,34,yellow bell pepper,1,,(red/)
6,34,cilantro,1,bunch,
7,34,sesame seeds,,,
8,34,lime wedges,,,(for serving)
9,34,cashews,0.5,cup,(soaked)
10,34,ginger root,1,inch,(peeled)
11,34,garlic,1,clove,
12,34,chili,1,tsp.,
13,34,tamari sauce,2,Tbsp.,
14,34,agave,1,Tbsp.,
15,34,limes,1,,
16,34,ground coriander,1,tsp.,
17,34,water,0.5,cup,
18,34,cashews,1,handful,
19,34,tamari sauce,0.5,cup,
0,35,rice noodles,8,oz.,"(dried wide, flat)"
1,35,fresh lime juice,0.25,cup,"(plus lime wedges for serving, 3 limes)"
2,35,soy sauce,3,Tbsp.,(or fish sauce)
3,35,chili sauce,1,Tbsp.,(such as Sriracha)
4,35,dark brown sugar,1,Tbsp.,(packed)
5,35,vegetable oil,2,Tbsp.,
6,35,large eggs,2,,(lightly beaten)
7,35,firm tofu,14,oz.,"(drained, thinly sliced, and patted dry)"
8,35,carrots,2,,"(medium, peeled and shredded)"
9,35,garlic cloves,2,,(minced)
10,35,scallions,8,,(white and green parts separated and thinly sliced)
11,35,coarse salt,,,
12,35,roasted salted peanuts,2,Tbsp.,(chopped)
13,35,cilantro leaves,0.25,cup,(fresh)
0,36,brown rice noodles,8,oz.,(pad Thai style)
1,36,fresh lime juice,0.5,cup,
2,36,reduced sodium soy sauce,0.333333333,cup,(or tamari  )
3,36,coconut sugar,0.25,cup,
4,36,sambal oelek,3,Tbsp.,
5,36,fish sauce,2,Tbsp.,
6,36,safflower oil,1,Tbsp.,(divided     )
7,36,"boneless, skinless chicken breast",12,oz.,(cut into bite-size pieces )
8,36,garlic,1,clove,(minced )
9,36,red bell pepper,1,,(thinly sliced and cut into 1-inch-long strips )
10,36,large eggs,2,,(beaten    )
11,36,sliced green onions,0.25,cup,(thinly)
12,36,chopped fresh cilantro,0.25,cup,(coarsely)
13,36,unsalted peanuts,2,Tbsp.,(chopped raw)
0,37,rice noodles,10,oz.,(Thai)
1,37,"boneless, skinless chicken breasts",1,lb.,(sliced into small strips)
2,37,vegetable oil,2,Tbsp.,
3,37,dark brown sugar,0.25,cup,(packed)
4,37,soy sauce,0.25,cup,
5,37,rice vinegar,2,Tbsp.,
6,37,lime juice,1,Tbsp.,
7,37,fish sauce,1,Tbsp.,
8,37,red bell pepper,1,,(sliced into thin strips and strips halved)
9,37,matchstick carrots,1.5,cups,
10,37,garlic,2,cloves,
11,37,green onions,4,,"(whites minced, greens sliced into 1-inch pieces)"
12,37,bean sprouts,2,cups,
13,37,large eggs,3,,
14,37,unsalted peanuts,0.5,cup,(roughly chopped)
15,37,cilantro,0.333333333,cup,(chopped)
16,37,red pepper flakes,,,(optional)
17,37,sesame seeds,,,(optional)
0,38,rice noodles,5,oz.,(pad Thai)
1,38,vegetable oil,3,Tbsp.,
2,38,large egg,1,,(room temperature)
3,38,medium shrimp,6,,"(peeled, deveined, optional)"
4,38,pressed tofu,2,Tbsp.,"(1x½x⅛-inch slices, bean curd)"
5,38,radish,1,Tbsp.,"(sweet preserved shredded, rinsed, chopped into 1-inch pieces)"
6,38,bean sprouts,1,cup,
7,38,tamarind water,5,Tbsp.,
8,38,tamarind water,5,Tbsp.,
9,38,tamarind paste,2,Tbsp.,
10,38,Thai fish sauce,1.5,Tbsp.,"(or more, nam pla)"
11,38,simple syrup,1.5,Tbsp.,(preferably made with palm sugar)
